timestamp_sec,timestamp_nsec,sample_count,q_w,q_x,q_y,q_z,q_norm,dot_prev,angular_diff_rad,angular_diff_deg,roll_rad,pitch_rad,yaw_rad,yaw_deg,yaw_diff_rad,yaw_diff_deg,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,snap_detected,snap_magnitude_rad
334,284000000,757,0.9857093691825867,0.1680297553539276,0.011962788179516792,6.1031198129057884e-05,1.0000000356022338,1.0000000525129904,0.0,0.0,0.3377345413985906,0.023565335675236585,0.004141688565823347,0.2373012748792686,-4.5005162773587015e-09,-2.578605883225822e-07,0.1875,0.125,0.125,0.0,0.02,-0.03,0,0.0
334,680000000,758,0.9857093691825867,0.1680295467376709,0.011962788179516792,6.103171472204849e-05,1.000000000548549,1.0000000361507617,0.0,0.0,0.33773410679289356,0.023565335527053873,0.00414168459191151,0.2373010471908922,-3.973911836749333e-09,-2.2768837640281778e-07,-0.0625,0.0625,-0.125,0.01,0.02,-0.04,0,0.0
335,68000000,759,0.9857094287872314,0.16802938282489777,0.011962789110839367,6.1032158555462956e-05,1.0000000317703999,1.0000000323189344,0.0,0.0,0.3377337842371013,0.02356533866087999,0.004141681864891415,0.23730089094415013,-2.727020094982213e-09,-1.562467420898457e-07,0.125,0.0625,0.0,0.01,0.04,-0.04,0,0.0
335,462000000,760,0.9857094287872314,0.16802923381328583,0.011962789110839367,6.103253326728009e-05,1.000000006732105,1.0000000385024945,0.0,0.0,0.3377334738046387,0.02356533855311399,0.00414167903765602,0.2373007289554943,-2.8272353945826834e-09,-1.6198865579959172e-07,-0.0625,0.1875,0.1875,0.0,0.02,-0.06,0,0.0
335,827000000,761,0.9857094883918762,0.16802911460399628,0.011962790042161942,6.103285340941511e-05,1.0000000454654887,1.000000052197586,0.0,0.0,0.3377332443783397,0.023565341723061604,0.00414167713656674,0.2373006200311021,-1.90108927992233e-09,-1.0892439221711426e-07,0.125,0.0,0.125,0.0,0.04,-0.01,0,0.0
336,300000000,762,0.9857094883918762,0.16802901029586792,0.011962790042161942,6.1033122619846836e-05,1.0000000279387087,1.0000000734041934,0.0,0.0,0.3377330270757936,0.023565341645302135,0.004141675171132237,0.23730050742000014,-1.965434503516106e-09,-1.1261110196086323e-07,-0.0625,-0.1875,0.0,-0.01,0.03,-0.05,0,0.0
336,692000000,763,0.9857094883918762,0.16802892088890076,0.011962790042161942,6.103335181251168e-05,1.000000012915763,1.000000040854468,0.0,0.0,0.337732840816444,0.023565341579175354,0.004141673483399558,0.23730041072004068,-1.6877326793063308e-09,-9.66999594705592e-08,0.1875,0.25,0.0,-0.01,0.04,-0.04,0,0.0
337,126000000,764,0.9857094883918762,0.1680288463830948,0.011962790042161942,6.103354462538846e-05,1.0000000003966472,1.0000000133124074,0.0,0.0,0.337732685600368,0.023565341523458315,0.004141672080542615,0.23730033034225861,-1.4028569425908466e-09,-8.037778207108193e-08,-0.0625,-0.25,-0.0625,0.01,0.02,-0.02,0,0.0
337,510000000,765,0.9857094883918762,0.16802877187728882,0.011962790042161942,6.103370833443478e-05,0.9999999878775353,0.9999999882741798,0.0003062785689742791,0.01754846935753267,0.3377325303836417,0.023565341477524607,0.004141670620294358,0.23730024667619642,-1.4602482573816689e-09,-8.366606218930279e-08,0.25,0.1875,0.0,0.0,0.02,-0.03,0,0.0
337,944000000,766,0.985709547996521,0.16802872717380524,0.011962790973484516,6.103385385358706e-05,1.00000003913008,1.0000000270076133,0.0,0.0,0.3377324561738301,0.023565344697075368,0.004141670157930806,0.23730022018471628,-4.623635519590552e-10,-2.649148012793161e-08,0.0625,0.0625,-0.125,0.02,0.02,0.0,0,0.0
338,314000000,767,0.985709547996521,0.16802868247032166,0.011962790973484516,6.1033973906887695e-05,1.000000031618619,1.0000000707486993,0.0,0.0,0.3377323630442886,0.02356534466217773,0.004141669324825269,0.23730017245128512,-8.331055368140938e-10,-4.7733431148428405e-08,0.1875,0.0625,-0.1875,0.0,0.03,-0.05,0,0.0
